0.007, -1.5, -3.79874459118089e-11, 0, 7.4585186299738e-09
0.007, -1.47, -4.04334653029489e-11, 0, 7.79445387607688e-09
0.007, -1.44, -4.30898803602558e-11, 0, 8.1522400374316e-09
0.007, -1.41, -4.59796559557296e-11, 0, 8.533776724753e-09
0.007, -1.38, -4.91288241592965e-11, 0, 8.94117318584363e-09
0.007, -1.35, -5.2566972071685e-11, 0, 9.37677663090629e-09
0.007, -1.32, -5.63278243610366e-11, 0, 9.84320512214587e-09
0.007, -1.29, -6.04499319464068e-11, 0, 1.0343385887825e-08
0.007, -1.26, -6.49774950015241e-11, 0, 1.08806001075112e-08
0.007, -1.23, -6.99613554274101e-11, 0, 1.14585354482105e-08
0.007, -1.2, -7.54601885774938e-11, 0, 1.2081347922855e-08
0.007, -1.17, -8.15419470105572e-11, 0, 1.27537350103787e-08
0.007, -1.14, -8.82856189987706e-11, 0, 1.34810224424062e-08
0.007, -1.11, -9.57833762763797e-11, 0, 1.42692676552782e-08
0.007, -1.08, -1.04143209146716e-10, 0, 1.51253836669868e-08
0.007, -1.05, -1.134921911516e-10, 0, 1.60572881203775e-08
0.007, -1.02, -1.23980528135567e-10, 0, 1.70740835089827e-08
0.007, -0.99, -1.35786622417751e-10, 0, 1.81862762694431e-08
0.007, -0.96, -1.49123439632261e-10, 0, 1.94060446220995e-08
0.007, -0.93, -1.64246589991981e-10, 0, 2.0747567959796e-08
0.007, -0.9, -1.81464617191825e-10, 0, 2.22274344938707e-08
0.007, -0.87, -2.01152246390317e-10, 0, 2.38651491474381e-08
0.007, -0.84, -2.23767548835923e-10, 0, 2.56837708895677e-08
0.007, -0.81, -2.49874393868429e-10, 0, 2.77107186272641e-08
0.007, -0.78, -2.80172082427408e-10, 0, 2.99787985900954e-08
0.007, -0.75, -3.15534864908966e-10, 0, 3.25275256036216e-08
0.007, -0.72, -3.5706519419119e-10, 0, 3.54048383955704e-08
0.007, -0.69, -4.06166350558529e-10, 0, 3.86693491655665e-08
0.007, -0.66, -4.64642715515809e-10, 0, 4.23933263895759e-08
0.007, -0.63, -5.34840135946373e-10, 0, 4.66666972350296e-08
0.007, -0.6, -6.19845351162998e-10, 0, 5.16024882018657e-08
0.007, -0.57, -7.23773952117649e-10, 0, 5.73443263328968e-08
0.007, -0.54, -8.52193696143853e-10, 0, 6.40769434756223e-08
0.007, -0.51, -1.01275910703133e-09, 0, 7.20411401898207e-08
0.007, -0.48, -1.21618382284803e-09, 0, 8.1555511523532e-08
0.007, -0.45, -1.47776708361241e-09, 0, 9.30486652170978e-08
0.007, -0.42, -1.81985642395438e-09, 0, 1.07108147960725e-07
0.007, -0.39, -2.27594519339271e-09, 0, 1.24556765000903e-07
0.007, -0.36, -2.89773405169661e-09, 0, 1.46575325447989e-07
0.007, -0.33, -3.76780296287966e-09, 0, 1.74907116494588e-07
0.007, -0.3, -5.02344786768552e-09, 0, 2.12212732790768e-07
0.007, -0.27, -6.90407984764482e-09, 0, 2.62716181235062e-07
0.007, -0.24, -9.8519664147424e-09, 0, 3.33451085933418e-07
0.007, -0.21, -1.47444939487525e-08, 0, 4.36839127102913e-07
0.007, -0.18, -2.34871139160338e-08, 0, 5.9651344516e-07
0.007, -0.15, -4.07404662623308e-08, 0, 8.620413931508e-07
0.007, -0.12, -7.99332868243863e-08, 0, 1.3522323025026e-06
0.007, -0.09, -1.90339934997379e-07, 0, 2.41322534748171e-06
0.007, -0.06, -6.41264620404909e-07, 0, 5.42800011985259e-06
0.007, -0.03, -4.71928789000423e-06, 0, 2.0592072018026e-05
0.007, 0, -0.000145586582937302, 0, 0.000518758376043743
0.007, 0.03, 5.85053321893163e-06, 0, 0.000743988671265532
0.007, 0.06, -3.34356245098857e-06, 0, 0.000747863807883921
0.007, 0.09, -8.5302657641726e-06, 0, 0.000764001720741475
0.007, 0.12, 5.48693333382441e-06, 0, 0.000768501950284034
0.007, 0.15, 6.44183333140625e-06, 0, 0.00075410808583736
0.007, 0.18, -7.45333875919176e-06, 0, 0.000755489594116823
0.007, 0.21, -4.3150937706885e-06, 0, 0.000770174195487002
0.007, 0.24, 8.89114416676808e-06, 0, 0.00076444681282727
0.007, 0.27, 1.41863480966014e-06, 0, 0.000752021083796119
0.007, 0.3, -9.30308169226413e-06, 0, 0.000761525517470735
0.007, 0.33, 1.48151409016063e-06, 0, 0.000771404841583995
0.007, 0.36, 8.78378724075054e-06, 0, 0.000758589578050392
0.007, 0.39, -4.14655223341933e-06, 0, 0.000753062959229513
0.007, 0.42, -7.61750956829511e-06, 0, 0.000767436551440403
0.007, 0.45, 6.67177649441305e-06, 0, 0.000768646760164947
0.007, 0.48, 5.37356841721279e-06, 0, 0.000753878343115056
0.007, 0.51, -8.20813362008869e-06, 0, 0.000757267541320053
0.007, 0.54, -2.93224873758907e-06, 0, 0.00077113966151478
0.007, 0.57, 9.21312939130956e-06, 0, 0.000763207586472128
0.007, 0.6, -5.98032920447056e-10, 0, 0.000752108866434884
0.007, 0.63, -9.21434371536161e-06, 0, 0.000763217888358028
0.007, 0.66, 2.93097825548999e-06, 0, 0.000771160582055366
0.007, 0.69, 8.20676473138284e-06, 0, 0.000757299738307759
0.007, 0.72, -5.37508591730947e-06, 0, 0.000753922867404741
0.007, 0.75, -6.67350561703904e-06, 0, 0.000768705143400163
0.007, 0.78, 7.6154859874328e-06, 0, 0.000767510943743756
0.007, 0.81, 4.14412079867647e-06, 0, 0.000753156341429183
0.007, 0.84, -8.78678768837588e-06, 0, 0.000758706090827436
