# radius = 1,
# length = 1,
# E-field = 1,
# omega = 1e+09,
# mode = TM011,
z, 0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1
0, 0, -2.55076111100056e-09, -4.99141800826998e-09, -7.21714722932136e-09, -9.13342087834137e-09, -1.06605033450157e-08, -1.17372045892776e-08, -1.23237031114779e-08, -1.24032997911505e-08, -1.19830189169123e-08, -1.10930320450759e-08, 
0.01, 0, -2.54824443880726e-09, -4.98649329664081e-09, -7.21002653359306e-09, -9.12440951845544e-09, -1.06499853109202e-08, -1.17256242432038e-08, -1.23115441049738e-08, -1.23910622517138e-08, -1.19711960416261e-08, -1.10820872626865e-08, 
0.02, 0, -2.54070435438273e-09, -4.97173859734022e-09, -7.18869254854106e-09, -9.09741100251821e-09, -1.0618472718509e-08, -1.16909289073178e-08, -1.22751150715051e-08, -1.23543979293809e-08, -1.19357740752552e-08, -1.10492961095742e-08, 
0.03, 0, -2.52817061499548e-09, -4.94721214042558e-09, -7.1532294696578e-09, -9.05253188133766e-09, -1.05660899335876e-08, -1.16332555082596e-08, -1.22145597798241e-08, -1.22934515214817e-08, -1.18768928121179e-08, -1.09947879974394e-08, 
0.04, 0, -2.51069268558873e-09, -4.91301072061724e-09, -7.10377725351409e-09, -8.98994927230174e-09, -1.04930436870767e-08, -1.15528316565868e-08, -1.2130117214002e-08, -1.22084635556446e-08, -1.17947846296597e-08, -1.09187780448984e-08, 
0.05, 0, -2.48833954356496e-09, -4.86926931529406e-09, -7.04053106541447e-09, -8.90991016037707e-09, -1.03996222591396e-08, -1.14499747484997e-08, -1.20221206302679e-08, -1.20997694405433e-08, -1.16897735713649e-08, -1.08215662285082e-08, 
0.06, 0, -2.46119940656354e-09, -4.81616055179928e-09, -6.96374050916895e-09, -8.812730423372e-09, -1.02861943414722e-08, -1.13250907132238e-08, -1.1890996241799e-08, -1.19677981421925e-08, -1.15622740679057e-08, -1.07035361988962e-08, 
0.07, 0, -2.42937938430607e-09, -4.75389402615935e-09, -6.87370864202075e-09, -8.69879358531129e-09, -1.01532075822452e-08, -1.11786724109922e-08, -1.17372615366514e-08, -1.18130704910148e-08, -1.14127893015733e-08, -1.05651537666665e-08, 
0.08, 0, -2.39300505588323e-09, -4.6827154759041e-09, -6.77079077861786e-09, -8.568549302842e-09, -1.00011868194414e-08, -1.10112976879515e-08, -1.15615232354717e-08, -1.16361971263612e-08, -1.12419092204472e-08, -1.04069650640583e-08, 
0.09, 0, -2.35221997415144e-09, -4.60290581025298e-09, -6.65539308874844e-09, -8.42251159064406e-09, -9.83073200956003e-09, -1.08236270956675e-08, -1.13644748970474e-08, -1.14378760865961e-08, -1.10503082101401e-08, -1.02295943896111e-08, 
0.1, 0, -2.30718509919537e-09, -4.51478000149477e-09, -6.5279709943742e-09, -8.26125679284925e-09, -9.64251585986217e-09, -1.06164012842294e-08, -1.11468941811475e-08, -1.12188900542593e-08, -1.08387424323054e-08, -1.00337417443441e-08, 
0.11, 0, -2.25807816309199e-09, -4.41868584193577e-09, -6.38902737228803e-09, -8.08542130847414e-09, -9.43728117350293e-09, -1.03904380792424e-08, -1.09096397794544e-08, -1.09801032671751e-08, -1.0608046840413e-08, -9.82018006917156e-09, 
0.12, 0, -2.20509296848328e-09, -4.31500257132253e-09, -6.239110569489e-09, -7.89569907984397e-09, -9.21583791802657e-09, -1.01466292542438e-08, -1.06536480267005e-08, -1.07224581077009e-08, -1.03591318845693e-08, -9.58975219445833e-09, 
0.13, 0, -2.14843862372572e-09, -4.20413938015576e-09, -6.07881223910727e-09, -7.69283885391931e-09, -8.97906002879464e-09, -9.88593701128026e-09, -1.03799292053822e-08, -1.04469713835743e-08, -1.00929799183866e-08, -9.34336751375343e-09, 
0.14, 0, -2.08833871763517e-09, -4.08653379480244e-09, -5.90876500541954e-09, -7.47764122733385e-09, -8.72788195996241e-09, -9.60939018353578e-09, -1.00895635586372e-08, -1.01547303150374e-08, -9.81064132208224e-09, -9.08199839482914e-09, 
0.15, 0, -2.02503043708393e-09, -3.96264995077907e-09, -5.72963996716997e-09, -7.2509554868053e-09, -8.46329499661524e-09, -9.31808017499726e-09, -9.78369702701775e-09, -9.84688824407555e-09, -9.5132303571075e-09, -8.80667634218969e-09, 
0.16, 0, -1.95876363093253e-09, -3.83297676102086e-09, -5.54214404905008e-09, -7.01367625738864e-09, -8.18634334261915e-09, -9.0131566531815e-09, -9.4635367259869e-09, -9.52466008270318e-09, -9.20192076866702e-09, -8.51848792619413e-09, 
0.17, 0, -1.88979982399043e-09, -3.69802598636575e-09, -5.34701721178997e-09, -6.76673997179982e-09, -7.89811999962531e-09, -8.6958230119228e-09, -9.13034618198557e-09, -9.18931751826116e-09, -8.87794115348254e-09, -8.21857049485966e-09, 
0.18, 0, -1.81841118489706e-09, -3.55833021586816e-09, -5.14502953187132e-09, -6.5111211747436e-09, -7.59976245349177e-09, -8.36733162212727e-09, -8.78544034587063e-09, -8.8421839946479e-09, -8.54257011108301e-09, -7.9081076852685e-09, 
0.19, 0, -1.74487945199656e-09, -3.4144407649133e-09, -4.93697816238737e-09, -6.24782867683084e-09, -7.29244818514655e-09, -8.02897888923699e-09, -8.43018040340474e-09, -8.48462948929088e-09, -8.19713119775631e-09, -7.58832475229315e-09, 
0.2, 0, -1.66949482144523e-09, -3.26692549942727e-09, -4.72368418704386e-09, -5.9779015732639e-09, -6.97739002360825e-09, -7.68210013691001e-09, -8.065968403278e-09, -8.11806510647163e-09, -7.84298770307731e-09, -7.26048373307513e-09, 
