8.33333333333333e-05 0 -0.05 0 0 123643422.952432 0
8.33333333333333e-05 1.02636133042895e-11 -0.04985 0 16.9203770773663 123643422.952432 1.21316602548045e-12
8.33333333327077e-05 4.11668725127775e-11 -0.0497 -0.00103141851158858 34.0260862416167 123643422.95243 2.42633205096089e-12
8.33333333301853e-05 9.29361582907282e-11 -0.04955 -0.00312689869193569 51.3196697235634 123643422.952425 3.63949807644134e-12
8.3333333324455e-05 1.65800960857176e-10 -0.0494 -0.0063199919408559 68.8037116373541 123643422.952418 4.85266410192178e-12
8.33333333141642e-05 2.59993931331722e-10 -0.0492500000000001 -0.0106451837431956 86.4808388630487 123643422.952408 6.06583012740223e-12
8.33333332979181e-05 3.75750934089879e-10 -0.0491000000000001 -0.0161379202966045 104.35372182672 123643422.952396 7.27899615288267e-12
8.3333333274278e-05 5.13311100083407e-10 -0.0489500000000001 -0.0228346359425027 122.425075311208 123643422.95238 8.49216217836312e-12
8.33333332417606e-05 6.72916881215882e-10 -0.0488000000000002 -0.0307727814275649 140.697659385005 123643422.952362 9.70532820384357e-12
8.33333331988366e-05 8.5481410581162e-10 -0.0486500000000003 -0.0399908530287495 159.174280275854 123643422.952341 1.0918494229324e-11
8.33333331439291e-05 1.05925203512767e-09 -0.0485000000000004 -0.0505284225648843 177.857791216727 123643422.952317 1.21316602548045e-11
8.33333330754128e-05 1.28648342096257e-09 -0.0483500000000006 -0.0624261683218206 196.751093407975 123643422.95229 1.33448262802849e-11
8.33333329916121e-05 1.53676456443142e-09 -0.0482000000000008 -0.0757259069269112 215.857136977848 123643422.95226 1.45579923057653e-11
8.33333328908001e-05 1.81035537586767e-09 -0.048050000000001 -0.0904706262012165 235.178921879633 123643422.952226 1.57711583312458e-11
8.3333332771197e-05 2.10751943591865e-09 -0.0479000000000013 -0.106704519019595 254.719498962317 123643422.952189 1.69843243567262e-11
8.33333326309687e-05 2.42852405782991e-09 -0.0477500000000016 -0.124473018216105 274.481970859806 123643422.952148 1.81974903822067e-11
8.33333324682249e-05 2.77364035098623e-09 -0.047600000000002 -0.143822832565119 294.469493173553 123643422.952104 1.94106564076871e-11
8.33333322810184e-05 3.14314328573241e-09 -0.0474500000000024 -0.164801983880134 314.685275399617 123643422.952055 2.06238224331676e-11
8.33333320673423e-05 3.53731175946383e-09 -0.0473000000000029 -0.18745984526036 335.1325820949 123643422.952003 2.1836988458648e-11
8.33333318251295e-05 3.95642866403517e-09 -0.0471500000000035 -0.211847180526761 355.81473388414 123643422.951947 2.30501544841285e-11
8.333333155225e-05 4.40078095453683e-09 -0.0470000000000041 -0.238016184888437 376.735108707576 123643422.951887 2.42633205096089e-11
8.33333312465099e-05 4.87065971943564e-09 -0.0468500000000048 -0.266020526876322 397.897142822424 123643422.951823 2.54764865350894e-11
8.33333309056491e-05 5.3663602521357e-09 -0.0467000000000056 -0.29591539159322 419.304332142636 123643422.951754 2.66896525605698e-11
8.33333305273397e-05 5.88818212398299e-09 -0.0465500000000064 -0.327757525315828 440.960233279292 123643422.95168 2.79028185860503e-11
8.33333301091839e-05 6.43642925878383e-09 -0.0464000000000074 -0.361605281510164 462.868464995904 123643422.951602 2.91159846115307e-11
8.33333296487123e-05 7.01141000882756e-09 -0.0462500000000084 -0.397518668285028 485.032709232934 123643422.951519 3.03291506370111e-11
8.33333291433812e-05 7.61343723239167e-09 -0.0461000000000096 -0.435559397350777 507.456712527272 123643422.951431 3.15423166624916e-11
8.33333285905716e-05 8.24282837291253e-09 -0.0459500000000109 -0.475790934531062 530.144287338528 123643422.951338 3.2755482687972e-11
8.3333327987586e-05 8.89990553977284e-09 -0.0458000000000123 -0.518278551877031 553.099313388073 123643422.95124 3.39686487134525e-11
8.33333273316465e-05 9.58499559074413e-09 -0.0456500000000138 -0.563089381440594 576.325739048556 123643422.951136 3.51818147389329e-11
8.3333326619893e-05 1.02984302161029e-08 -0.0455000000000154 -0.610292470757686 599.827582713402 123643422.951026 3.63949807644134e-11
8.33333258493802e-05 1.10405460245309e-08 -0.0453500000000172 -0.659958840121109 623.608934368478 123643422.950911 3.76081467898938e-11
8.33333250170752e-05 1.18116846307565e-08 -0.0452000000000191 -0.71216154166301 647.673956891625 123643422.95079 3.88213128153743e-11
8.33333241198557e-05 1.26121927450172e-08 -0.0450500000000212 -0.766975720365598 672.02688775349 123643422.950662 4.00344788408547e-11
8.33333231545065e-05 1.34424222644445e-08 -0.0449000000000234 -0.824478677018858 696.672040488526 123643422.950528 4.12476448663352e-11
8.33333221177175e-05 1.43027303663436e-08 -0.0447500000000258 -0.884749933223701 721.613806344921 123643422.950388 4.24608108918156e-11
8.33333210060806e-05 1.51934796034086e-08 -0.0446000000000284 -0.947871298481758 746.856655828225 123643422.95024 4.36739769172961e-11
8.33333198160871e-05 1.61150380009278e-08 -0.0444500000000311 -1.01392693947878 772.40514043618 123643422.950086 4.48871429427765e-11
8.33333185441247e-05 1.70677791561028e-08 -0.0443000000000341 -1.08300345162578 798.263894410387 123643422.949924 4.61003089682569e-11
8.33333171864746e-05 1.80520823394361e-08 -0.0441500000000372 -1.15518993291126 824.437636393682 123643422.949755 4.73134749937374e-11
8.33333157393083e-05 1.90683325982637e-08 -0.0440000000000406 -1.2305780601941 850.931171309542 123643422.949579 4.85266410192178e-11
8.33333141986843e-05 2.011692086253e-08 -0.0438500000000442 -1.30926216798473 877.749392178984 123643422.949394 4.97398070446983e-11
8.33333125605454e-05 2.11982440528162e-08 -0.043700000000048 -1.39133932982107 904.897282018684 123643422.949201 5.09529730701787e-11
